epoch,task_num,valid_loss,valid_acc
0,1,0.11617278712590536,0.965
1,1,0.06063722819685936,0.9819
2,1,0.041280380529165266,0.9879
3,1,0.024090004032850266,0.99335
4,1,0.024788993610441686,0.9919166666666667
5,1,0.012458275141318639,0.9964333333333333
6,1,0.007648721586664518,0.9977
7,1,0.006066950656101107,0.99825
8,1,0.007007611057162285,0.9978
9,1,0.0045553439069228865,0.99875
10,1,0.0026465143116811913,0.9992
11,1,0.00381676911097796,0.9988166666666667
12,1,0.0018658187785341093,0.9995
13,1,0.008259694906541456,0.9969333333333333
14,1,0.0064103946129170555,0.9976333333333334
15,1,0.005087939966407915,0.9983166666666666
16,1,0.0038485107700650893,0.9987666666666667
17,1,0.0038217361724353395,0.9990333333333333
18,1,6.528817467818347e-05,1.0
19,1,8.100211973711945e-05,0.99995
20,1,1.479792602440284e-05,1.0
21,1,7.239527920319233e-06,1.0
22,1,0.0004248893172579604,0.99985
23,1,5.64642742852205e-05,1.0
24,1,8.143999336486255e-06,1.0
25,1,5.356876480376135e-06,1.0
26,1,3.318167741084229e-06,1.0
27,1,2.6434849485819237e-06,1.0
28,1,2.0547319774323115e-06,1.0
29,1,1.7369463449388907e-06,1.0
30,1,1.4961047540812917e-06,1.0
31,1,0.0023350706390454436,0.9992833333333333
32,1,0.00010634023898777135,0.9999833333333333
33,1,1.1067212474154076e-05,1.0
34,1,4.857782552304949e-06,1.0
35,1,3.5627900064355346e-06,1.0
36,1,1.8695243845286314e-06,1.0
37,1,6.2791921338885e-07,1.0
38,1,1.0545873712696145e-06,1.0
39,1,7.296575104722554e-07,1.0
40,1,3.5449976192391356e-07,1.0
41,1,1.6001375986570564e-05,1.0
42,1,1.6220015127013692e-06,1.0
43,1,2.809203814621242e-07,1.0
44,1,0.00012943884961463632,0.9999666666666667
45,1,1.711414106959334e-07,1.0
46,1,1.5960239706060975e-07,1.0
47,1,1.2052413730761677e-07,1.0
48,1,1.0708149517123881e-07,1.0
49,1,7.963491131401194e-08,1.0
50,1,7.38394931445896e-08,1.0
51,1,6.370881792937174e-08,1.0
52,1,6.422344003892041e-08,1.0
53,1,5.301990854675864e-08,1.0
54,1,4.965430001983388e-08,1.0
55,1,4.9099923922450254e-08,1.0
56,1,3.792227115226865e-08,1.0
57,1,3.28380509909465e-08,1.0
58,1,6.216176202009649e-08,1.0
