epoch,task_num,valid_loss,valid_acc
0,1,0.00853125810623169,0.21
1,1,0.00784061360359192,0.298
2,1,0.007400591850280761,0.372
3,1,0.006538312911987304,0.464
4,1,0.005987884998321533,0.482
5,1,0.005702945232391357,0.528
6,1,0.005301770925521851,0.54
7,1,0.005216464757919311,0.56
8,1,0.004683894872665405,0.606
9,1,0.0046414856910705566,0.622
10,1,0.004311527252197266,0.644
11,1,0.0042497749328613285,0.63
12,1,0.004135610222816467,0.678
13,1,0.003892179250717163,0.686
14,1,0.0044404067993164065,0.656
15,1,0.0038984984159469603,0.706
16,1,0.0040684078931808474,0.666
17,1,0.004036781907081604,0.686
18,1,0.004077048897743225,0.688
19,1,0.0038388637304306032,0.702
20,1,0.003838419795036316,0.71
21,1,0.0038535791635513307,0.692
22,1,0.00392522931098938,0.716
23,1,0.00385908842086792,0.732
24,1,0.0037914572954177855,0.714
25,1,0.003814026355743408,0.714
26,1,0.004070568084716797,0.72
27,1,0.004056193828582764,0.728
28,1,0.003802248239517212,0.722
29,1,0.00394033408164978,0.71
30,1,0.0039899139404296876,0.716
31,1,0.004030311822891235,0.712
32,1,0.00399284291267395,0.708
33,1,0.004077748417854309,0.722
34,1,0.004034318208694458,0.716
35,1,0.0041949224472045896,0.728
36,1,0.004021855473518372,0.726
37,1,0.004006300568580628,0.724
38,1,0.004074711203575134,0.732
39,1,0.004074940800666809,0.724
40,1,0.004091609001159668,0.734
41,1,0.004107140302658081,0.738
42,1,0.004084342360496521,0.734
43,1,0.00406337034702301,0.732
44,1,0.004085294008255005,0.728
45,1,0.00408184003829956,0.732
46,1,0.004072324991226196,0.732
47,1,0.004068133234977722,0.736
48,1,0.004081847071647644,0.738
49,1,0.004092601776123047,0.738
50,1,0.004088271975517273,0.738
51,1,0.004083708167076111,0.738
52,1,0.004090282678604126,0.74
53,1,0.004087451219558716,0.738
54,1,0.004086210012435913,0.738
100,2,0.008804570198059082,0.22
100,1,0.00846193552017212,0.27
101,2,0.007227600336074829,0.426
101,1,0.006702163219451904,0.456
102,2,0.006546105146408081,0.466
102,1,0.006597743272781372,0.452
103,2,0.006055263996124267,0.532
103,1,0.006341880083084107,0.49
