epoch,task_num,valid_loss,valid_acc
0,1,2.1917822265625,0.156
1,1,2.078192077636719,0.23
2,1,2.00887353515625,0.316
3,1,1.816817138671875,0.39
4,1,1.6902040405273437,0.432
5,1,1.6118340454101563,0.466
6,1,1.6254027709960936,0.446
7,1,1.5312344970703125,0.49
8,1,1.5139388427734375,0.498
9,1,1.468816650390625,0.506
10,1,1.370102783203125,0.552
11,1,1.380738037109375,0.558
12,1,1.3159087524414061,0.576
13,1,1.3806041870117187,0.548
14,1,1.2326925048828126,0.584
15,1,1.260470703125,0.594
16,1,1.2134635620117187,0.6
17,1,1.1774600219726563,0.624
18,1,1.132939453125,0.634
19,1,1.11174755859375,0.634
20,1,1.0978683471679687,0.656
21,1,1.1803051147460937,0.624
22,1,1.1239984741210938,0.632
23,1,1.0872070922851562,0.664
24,1,1.1006331176757813,0.654
25,1,1.0745728759765625,0.66
26,1,1.1003358764648437,0.656
27,1,1.1353807373046876,0.658
28,1,1.0710177612304688,0.686
29,1,1.08231494140625,0.678
30,1,1.1028485717773437,0.678
31,1,1.07113525390625,0.688
32,1,1.1632379150390626,0.684
33,1,1.173816162109375,0.668
34,1,1.148985595703125,0.688
35,1,1.1935982666015625,0.69
36,1,1.2472057495117188,0.692
37,1,1.1717888793945312,0.702
38,1,1.1779083251953124,0.71
39,1,1.212682861328125,0.7
40,1,1.254364013671875,0.706
41,1,1.24899267578125,0.704
42,1,1.2498974609375,0.7
43,1,1.2263204345703125,0.706
44,1,1.2661622314453125,0.704
45,1,1.2541384887695313,0.702
46,1,1.2533653564453124,0.708
47,1,1.25285302734375,0.714
48,1,1.2465119018554687,0.714
49,1,1.2545299072265625,0.712
50,1,1.2576431274414062,0.712
51,1,1.2559751586914063,0.712
52,1,1.2516775512695313,0.714
53,1,1.2503924560546875,0.714
54,1,1.252163330078125,0.712
55,1,1.2526549072265625,0.716
56,1,1.2522933349609375,0.716
57,1,1.2509130859375,0.716
58,1,1.2513535766601562,0.716
59,1,1.2512158813476562,0.716
60,1,1.2511205444335938,0.716
61,1,1.2512936401367187,0.716
62,1,1.2522537231445312,0.716
63,1,1.2525366821289063,0.716
100,2,2.027941162109375,0.392
100,1,1.8193333129882812,0.54
101,2,1.6188624267578124,0.43
101,1,1.3185785522460938,0.556
102,2,1.5017027587890626,0.506
102,1,1.3451094970703126,0.576
103,2,1.430917236328125,0.504
103,1,1.2987172241210938,0.588
104,2,1.3832554321289063,0.534
104,1,1.291104248046875,0.586
105,2,1.3140691528320312,0.564
105,1,1.2944826049804687,0.586
106,2,1.2706585083007813,0.552
106,1,1.2756768188476562,0.584
107,2,1.2822655029296874,0.54
107,1,1.3215390625,0.564
108,2,1.2285081787109375,0.614
108,1,1.3133660278320312,0.566
109,2,1.199801513671875,0.588
109,1,1.2674841918945312,0.596
110,2,1.1886199340820311,0.602
110,1,1.3609945678710937,0.544
111,2,1.2138872680664063,0.604
111,1,1.2142879028320313,0.578
112,2,1.2232008666992187,0.588
112,1,1.4230365600585937,0.542
113,2,1.1589732055664062,0.61
113,1,1.2504668579101563,0.594
114,2,1.187155029296875,0.63
114,1,1.3101238403320312,0.566
115,2,1.1218253173828125,0.622
115,1,1.2973097534179687,0.568
116,2,1.1225260620117188,0.634
116,1,1.2633038940429688,0.58
117,2,1.1623240356445312,0.62
117,1,1.3531012573242187,0.568
118,2,1.1016556396484376,0.654
118,1,1.2531616821289062,0.586
119,2,1.1003865966796875,0.66
119,1,1.3370695190429687,0.572
120,2,1.0812067260742189,0.652
120,1,1.2839259643554688,0.6
121,2,1.0684844970703125,0.66
121,1,1.3367633666992187,0.572
122,2,1.0540154418945313,0.682
122,1,1.4003268432617189,0.536
123,2,1.1256812744140625,0.664
123,1,1.3444273681640626,0.56
124,2,1.0665665283203125,0.676
124,1,1.3628377685546875,0.562
125,2,1.0317970275878907,0.668
125,1,1.3376207275390626,0.566
126,2,1.1461871337890626,0.668
126,1,1.3644259643554688,0.548
127,2,1.0807395629882812,0.686
127,1,1.3254089965820313,0.584
128,2,1.1981414184570311,0.688
128,1,1.3623589477539062,0.586
129,2,1.1186900634765624,0.666
129,1,1.3736205444335938,0.558
130,2,1.1072831420898437,0.68
130,1,1.33651953125,0.582
131,2,1.0986804809570312,0.674
131,1,1.3955881958007812,0.558
132,2,1.1017245483398437,0.67
132,1,1.3454310302734376,0.564
133,2,1.1675903930664062,0.676
133,1,1.3214640502929687,0.598
134,2,1.1245262451171876,0.674
134,1,1.3442042236328124,0.586
135,2,1.1246697387695312,0.684
135,1,1.3245138549804687,0.592
136,2,1.1174990234375,0.692
136,1,1.3796991577148439,0.576
137,2,1.125041015625,0.68
137,1,1.3671675415039062,0.584
138,2,1.1214906616210938,0.696
138,1,1.3702404174804688,0.582
139,2,1.1191408081054688,0.7
139,1,1.3840502319335937,0.578
140,2,1.144072998046875,0.684
140,1,1.3684144287109374,0.576
