epoch,task_num,valid_loss,valid_acc
0,1,0.006048038291931152,0.4256
1,1,0.0048434297084808346,0.548
2,1,0.004377675986289978,0.5958
3,1,0.0038022740125656126,0.655
4,1,0.0033990988969802858,0.6956
5,1,0.003188459575176239,0.7122
6,1,0.003004753565788269,0.7292
7,1,0.002835680103302002,0.7484
8,1,0.002689634573459625,0.7602
9,1,0.0025877718567848206,0.7712
10,1,0.0025737067699432375,0.7726
11,1,0.00243233682513237,0.7846
12,1,0.002480581879615784,0.7844
13,1,0.0023554242849349975,0.7982
14,1,0.002351064449548721,0.8032
15,1,0.0023090283811092378,0.8066
16,1,0.002232822823524475,0.8102
17,1,0.0022004653096199035,0.8174
18,1,0.00220979728102684,0.814
19,1,0.0021141038537025453,0.8246
20,1,0.002132053029537201,0.8224
21,1,0.002127505683898926,0.8196
22,1,0.002283820354938507,0.8122
23,1,0.0022254316866397858,0.821
24,1,0.0020816100358963014,0.8342
25,1,0.0020188455045223237,0.828
26,1,0.0020906794726848602,0.833
27,1,0.0021564493417739867,0.8248
28,1,0.0020791401505470277,0.8306
29,1,0.002028575474023819,0.8374
30,1,0.0020953087985515592,0.826
31,1,0.0020349908590316774,0.8438
32,1,0.0021097638130187987,0.8378
33,1,0.002114137488603592,0.8446
34,1,0.0020594774127006533,0.8448
35,1,0.002089161390066147,0.85
36,1,0.002095898276567459,0.8508
37,1,0.002084446918964386,0.8488
38,1,0.0020788752675056457,0.8518
39,1,0.0020952914834022522,0.852
40,1,0.002081617325544357,0.8522
41,1,0.0020890606462955477,0.8528
42,1,0.0021067994475364683,0.8508
43,1,0.0020893302500247955,0.8528
44,1,0.002109391403198242,0.8536
45,1,0.002095773160457611,0.8516
46,1,0.0021084554731845857,0.852
47,1,0.0021038627922534943,0.8516
48,1,0.0021043244004249574,0.8514
49,1,0.0021130202531814573,0.8504
50,1,0.002105091631412506,0.8516
51,1,0.002107818555831909,0.8514
52,1,0.002108051913976669,0.8516
53,1,0.0021066935896873473,0.8524
54,1,0.0021033834397792815,0.852
55,1,0.0021007575273513795,0.8526
56,1,0.0021010900735855104,0.8526
57,1,0.0021018631398677825,0.853
58,1,0.0021025988459587096,0.8524
59,1,0.002104451632499695,0.8524
60,1,0.002104447948932648,0.8528
100,2,0.006910802602767945,0.52
100,1,0.0027970717549324034,0.7734
101,2,0.0059967517852783205,0.628
101,1,0.0030614317059516906,0.7692
102,2,0.005404821157455444,0.686
102,1,0.0032399649977684023,0.7652
103,2,0.0052362711429595945,0.69
103,1,0.0032374231219291687,0.772
104,2,0.0051156518459320064,0.678
104,1,0.0041332735538482665,0.739
105,2,0.004888384819030762,0.716
105,1,0.0032412099599838256,0.7762
106,2,0.004784889936447143,0.71
106,1,0.002902851140499115,0.7934
107,2,0.0047299394607543946,0.706
107,1,0.003464066135883331,0.7646
108,2,0.00460670804977417,0.73
108,1,0.003107544302940369,0.7766
109,2,0.0046157147884368895,0.728
109,1,0.003493740355968475,0.7634
110,2,0.004606728553771973,0.726
110,1,0.0034326989650726317,0.7664
111,2,0.004695596694946289,0.71
111,1,0.003120801568031311,0.7782
112,2,0.004769869327545166,0.706
112,1,0.0035510243177413942,0.763
113,2,0.004512417316436768,0.728
113,1,0.0030842411637306212,0.7792
114,2,0.004558427333831787,0.722
114,1,0.003739269816875458,0.7458
115,2,0.0045383782386779785,0.692
115,1,0.003227243494987488,0.7742
116,2,0.004318997859954834,0.74
116,1,0.003074791967868805,0.7898
117,2,0.004271925210952759,0.734
117,1,0.003017787218093872,0.7858
118,2,0.00435230803489685,0.716
118,1,0.0031579936981201173,0.7788
119,2,0.00440187931060791,0.702
119,1,0.0030051018357276915,0.7924
120,2,0.004404588699340821,0.706
120,1,0.0030713275909423827,0.7734
121,2,0.004244026899337769,0.71
121,1,0.003077998769283295,0.7792
122,2,0.004302852392196656,0.724
122,1,0.0031853918313980104,0.776
123,2,0.0041074810028076175,0.738
123,1,0.002916154456138611,0.7954
124,2,0.004035687446594239,0.738
124,1,0.002884566903114319,0.7898
125,2,0.004103384971618653,0.726
125,1,0.0030341983079910278,0.7952
126,2,0.004010277986526489,0.766
126,1,0.002847375011444092,0.7896
127,2,0.004005362510681152,0.746
127,1,0.002930881476402283,0.7956
128,2,0.004004103899002075,0.746
128,1,0.002907442557811737,0.7964
129,2,0.0040041072368621825,0.738
129,1,0.0029378268122673035,0.7874
130,2,0.00394166886806488,0.752
130,1,0.0027345144748687745,0.8016
131,2,0.0039821211099624635,0.752
131,1,0.0028850630402565,0.7908
132,2,0.003963380217552185,0.748
132,1,0.0031907776355743407,0.7828
133,2,0.004081417083740235,0.75
133,1,0.0028775484919548035,0.7836
134,2,0.0038783173561096193,0.756
134,1,0.0028340043306350707,0.7946
135,2,0.0039092270135879514,0.766
135,1,0.0030605678915977476,0.7842
136,2,0.003967663764953613,0.746
136,1,0.0030099886775016784,0.788
137,2,0.003966046929359436,0.748
137,1,0.002945745873451233,0.7962
138,2,0.0038806843757629396,0.764
138,1,0.0029179919481277464,0.79
139,2,0.003832895040512085,0.752
139,1,0.003107215917110443,0.7818
140,2,0.0038713536262512207,0.774
140,1,0.002970609223842621,0.7892
141,2,0.003709410071372986,0.784
141,1,0.002911886286735535,0.7936
142,2,0.003999320030212403,0.764
142,1,0.003099927353858948,0.7782
143,2,0.0037691093683242796,0.768
143,1,0.002871293497085571,0.7976
144,2,0.0035934922695159913,0.788
144,1,0.0029616233468055726,0.7954
145,2,0.0037475836277008055,0.766
145,1,0.002809478235244751,0.798
146,2,0.003916387200355529,0.764
146,1,0.0031540979623794554,0.7812
147,2,0.0037945070266723635,0.764
147,1,0.003218766665458679,0.7778
148,2,0.003601480484008789,0.77
148,1,0.002939373815059662,0.799
149,2,0.003618015766143799,0.772
149,1,0.0029587288856506347,0.7926
150,2,0.003368243455886841,0.776
150,1,0.0028782304644584655,0.8004
151,2,0.0032870241403579713,0.792
151,1,0.002845263397693634,0.7994
152,2,0.0032684695720672607,0.79
152,1,0.002833905553817749,0.8034
