epoch,task_num,valid_loss,valid_acc
0,1,1.950081829460751e-05,0.9983418870904066
1,1,8.410433031002606e-06,0.9992893801816028
2,1,6.0768514659310525e-06,0.9995262534544019
3,1,4.438560637638084e-06,0.9995262534544019
4,1,2.64804490530139e-06,0.9996052112120016
5,1,4.1339931637992616e-06,0.9996841689696012
6,1,2.4901270382603543e-06,0.9997631267272009
7,1,1.4409173200202132e-06,0.9999210422424003
8,1,1.3662826105801062e-06,0.9998420844848006
9,1,1.4263266815345309e-06,0.9997631267272009
10,1,9.210403161058305e-06,0.9992104224240032
11,1,1.382294471024349e-06,0.9999210422424003
12,1,4.6327789578473245e-07,1.0
13,1,9.981166168746157e-07,0.9999210422424003
14,1,8.17487337122223e-07,0.9999210422424003
15,1,9.432074301940964e-06,0.9991314646664035
16,1,3.9498269617379993e-07,1.0
17,1,1.0934582809143285e-06,0.9998420844848006
18,1,1.741920524799827e-05,0.9985787603632057
19,1,4.2072954614277797e-07,1.0
20,1,4.7649082594316926e-07,0.9999210422424003
21,1,2.202140305531168e-07,1.0
22,1,3.590314422490344e-08,1.0
23,1,3.790852814057064e-07,1.0
24,1,1.015862979237186e-07,1.0
25,1,5.023996746279854e-06,0.9994472956968022
26,1,1.31814937887641e-07,1.0
27,1,7.200899950588924e-08,1.0
28,1,4.954525213632038e-08,1.0
29,1,4.252082927006492e-08,1.0
30,1,2.8815865808335624e-10,1.0
31,1,1.6482045120311763e-10,1.0
32,1,1.5115045090272975e-09,1.0
33,1,2.205248611357366e-09,1.0
34,1,1.9161780184225625e-08,1.0
35,1,2.108816172624426e-09,1.0
36,1,5.172959868790005e-10,1.0
37,1,4.8015590939583413e-11,1.0
38,1,2.628798241070713e-11,1.0
39,1,7.610854073127066e-12,1.0
40,1,4.779773946907113e-12,1.0
41,1,5.073778624509274e-11,1.0
42,1,5.070086981518501e-11,1.0
43,1,4.7980537028237224e-11,1.0
44,1,1.3236223384172096e-11,1.0
45,1,7.6476099918726e-12,1.0
46,1,1.1030264432673853e-12,1.0
47,1,6.250485631554344e-13,1.0
48,1,5.147458872708365e-13,1.0
49,1,4.4121076051785986e-13,1.0
50,1,1.3236313435838706e-12,1.0
51,1,1.0662588086665616e-12,1.0
52,1,6.25048488643822e-13,1.0
53,1,6.985835255445602e-13,1.0
54,1,6.985835255445602e-13,1.0
55,1,6.985835255445602e-13,1.0
56,1,4.4121075832634186e-13,1.0
57,1,3.309080736756719e-13,1.0
58,1,2.5737295568876733e-13,1.0
59,1,3.309080736756719e-13,1.0
60,1,2.5737295568876733e-13,1.0
61,1,2.2060540217411005e-13,1.0
62,1,2.2060540217411005e-13,1.0
63,1,2.9414052016101467e-13,1.0
64,1,2.5737295568876733e-13,1.0
65,1,2.2060540217411005e-13,1.0
66,1,2.2060540217411005e-13,1.0
67,1,2.2060540217411005e-13,1.0
68,1,2.2060540217411005e-13,1.0
69,1,1.8383783331882669e-13,1.0
70,1,2.2060538683348397e-13,1.0
71,1,1.8383783331882669e-13,1.0
72,1,1.8383783331882669e-13,1.0
73,1,1.8383783331882669e-13,1.0
74,1,1.8383783331882669e-13,1.0
75,1,1.8383783331882669e-13,1.0
76,1,1.8383783331882669e-13,1.0
77,1,1.8383783331882669e-13,1.0
78,1,1.470702710380974e-13,1.0
79,1,1.470702710380974e-13,1.0
80,1,1.470702710380974e-13,1.0
81,1,1.470702710380974e-13,1.0
82,1,1.470702710380974e-13,1.0
83,1,1.470702710380974e-13,1.0
100,2,0.000244456994870291,0.9797336421540244
100,1,8.722012059255887e-07,0.9999210422424003
101,2,0.00016358108597552817,0.9856894697659029
101,1,3.843575448749673e-06,0.9997631267272009
102,2,0.00010378495849769439,0.9916452973777815
102,1,5.6661374045025535e-06,0.9992893801816028
103,2,7.903802772757876e-05,0.9937132930763504
103,1,5.438974771012371e-06,0.9994472956968022
104,2,5.471791279482106e-05,0.9956158491190338
104,1,6.811705892885874e-06,0.9993683379392025
105,2,5.0996341979854805e-05,0.9954504094631483
105,1,7.702915212054691e-06,0.9993683379392025
106,2,3.894441450032121e-05,0.9965257672264042
106,1,1.0618447175164111e-05,0.9992893801816028
107,2,2.7304060788033503e-05,0.9978492844734883
107,1,1.4401240042685905e-05,0.9988945913936044
108,2,2.2720157562705206e-05,0.998262883613202
108,1,1.108889384471425e-05,0.9990525069088038
109,2,1.8481614083230875e-05,0.9989246422367442
109,1,1.469595266462851e-05,0.9990525069088038
110,2,1.970803351793261e-05,0.9985937629249731
110,1,2.7035612253237998e-05,0.9973154362416108
111,2,1.1881859159590972e-05,0.999338241376458
111,1,2.026631490395116e-05,0.9988945913936044
112,2,1.6166211676991325e-05,0.9988419224088014
112,1,2.482905661519227e-05,0.9984208448480063
113,2,8.51734595430609e-06,0.999669120688229
113,1,1.8852680589819157e-05,0.9988156336360048
114,2,1.356156349274537e-05,0.9990900818926297
114,1,2.352020910441393e-05,0.9986577181208054
115,2,5.846429520545046e-06,0.9997518405161717
115,1,1.943434821660077e-05,0.9985787603632057
116,2,9.060903727490647e-06,0.999338241376458
116,1,2.2547897642322638e-05,0.9985787603632057
117,2,4.63065125119383e-06,0.9997518405161717
117,1,3.879629769744892e-05,0.9974733517568101
118,2,4.008980470250775e-06,0.9998345603441144
118,1,3.571872630169813e-05,0.9980260560600079
119,2,3.1648452810404086e-06,0.9998345603441144
119,1,5.843123439272907e-05,0.9954204500592183
120,2,2.6047740109458296e-06,0.9999172801720573
120,1,3.428422073597229e-05,0.9981839715752072
121,2,1.1634767170761584e-05,0.9991728017205724
121,1,2.393591469566018e-05,0.9988945913936044
122,2,5.557589426679106e-06,0.9997518405161717
122,1,3.90122533295176e-05,0.9978681405448085
123,2,3.512132344045886e-06,0.9999172801720573
123,1,4.8222250654040424e-05,0.996999605211212
124,2,3.536399800667551e-06,0.9998345603441144
124,1,7.494361026957484e-05,0.9950256612712199
125,2,2.623770052075e-06,0.9998345603441144
125,1,7.992621994346815e-05,0.9956573233320174
126,2,8.48997556056434e-07,0.9999172801720573
126,1,7.135308291755713e-05,0.9934465061192262
127,2,6.377874810911061e-07,0.9999172801720573
127,1,6.589325951199803e-05,0.9938412949072246
128,2,4.149561993327864e-07,1.0
128,1,4.695158367138246e-05,0.9960521121200158
129,2,4.871162977920269e-07,1.0
129,1,4.5249440255117125e-05,0.9964469009080142
130,2,3.038602099550418e-07,1.0
130,1,6.085228496824935e-05,0.9948677457560205
131,2,3.0964911965718804e-07,1.0
131,1,7.592960166315811e-05,0.9934465061192262
132,2,2.88219194344329e-07,1.0
132,1,8.395322430489142e-05,0.9925779707856297
133,2,3.575629886301427e-07,1.0
133,1,4.6961236542162105e-05,0.9951835767864192
134,2,3.6342696523682916e-07,1.0
134,1,4.603127402527735e-05,0.9955783655744177
135,2,2.437662488296736e-07,1.0
135,1,4.767587662027745e-05,0.9958152388472168
136,2,2.0969116314076563e-07,1.0
136,1,8.06768140411817e-05,0.9918673509672326
137,2,2.772329442543566e-07,1.0
137,1,7.574452821531528e-05,0.9931306750888275
138,2,1.702155351531864e-07,1.0
138,1,8.730993606517826e-05,0.9920252664824319
139,2,2.1734997980590688e-07,1.0
139,1,8.109540336989999e-05,0.9923410975128306
140,2,1.9939136510458524e-07,1.0
140,1,6.909542574565248e-05,0.9922621397552309
141,2,9.739609767104491e-07,0.9999172801720573
141,1,8.03704975699389e-05,0.9925779707856297
142,2,2.506687867577137e-07,1.0
142,1,6.857798225218794e-05,0.9940781681800237
143,2,2.1274436506708434e-07,1.0
143,1,6.520570262434145e-05,0.9939202526648243
144,2,1.2363348240325733e-07,1.0
144,1,6.564443272752102e-05,0.9939202526648243
145,2,8.569010035492794e-08,1.0
145,1,6.751739237078072e-05,0.9937623371496249
146,2,8.233087388728874e-08,1.0
146,1,6.493780758923844e-05,0.9942360836952231
147,2,7.55870551605769e-08,1.0
147,1,7.055777687052881e-05,0.9933675483616266
148,2,7.816303267549334e-08,1.0
148,1,7.508783482649006e-05,0.9929727595736281
149,2,6.876501793344819e-08,1.0
149,1,8.205655847146278e-05,0.9921831819976312
150,2,6.767042687839774e-08,1.0
150,1,7.668460768555941e-05,0.9928938018160284
