epoch,task_num,valid_loss,valid_acc
0,1,0.005371370116867158,0.9981050138176076
1,1,0.002587798887796103,0.9991314646664035
2,1,0.0016677517085411523,0.9994472956968022
3,1,0.0012329372933646977,0.9996841689696012
4,1,0.0006882316744038846,0.9996841689696012
5,1,0.0008292639252563892,0.9996841689696012
6,1,0.00046710061628012624,0.9998420844848006
7,1,0.00026676991960052895,1.0
8,1,0.00016026373774212543,1.0
9,1,0.00038019034690755843,0.9998420844848006
10,1,0.0009487508369146074,0.9995262534544019
11,1,7.747706400396992e-05,1.0
12,1,0.00016389375568299152,0.9999210422424003
13,1,0.0003082709676624399,0.9998420844848006
14,1,0.0017030972709542488,0.9992893801816028
15,1,0.00032560625247518685,0.9999210422424003
16,1,5.725795368067321e-05,1.0
17,1,6.551462064079953e-05,1.0
18,1,3.105285673272782e-05,1.0
19,1,3.315137333055761e-05,1.0
20,1,0.0009786685660471434,0.9996052112120016
21,1,5.859052056681616e-05,1.0
22,1,2.274228852809647e-05,1.0
23,1,1.3688691206922331e-05,1.0
24,1,5.104097429570978e-05,1.0
25,1,6.0741816373041725e-06,1.0
26,1,5.565508306529256e-06,1.0
27,1,0.0004491411910041162,0.9997631267272009
28,1,4.306067924822823e-06,1.0
29,1,0.00013250291847519648,0.9999210422424003
30,1,1.547410312628816e-05,1.0
31,1,8.007690419137693e-06,1.0
32,1,5.431125555503536e-06,1.0
33,1,2.6563918850612737e-06,1.0
34,1,3.177052545372912e-06,1.0
35,1,3.952808076339005e-06,1.0
36,1,7.27930739871502e-06,1.0
37,1,4.111902506286378e-06,1.0
38,1,1.862289874999587e-05,1.0
39,1,1.1460473145507817e-05,1.0
40,1,4.356878187707407e-06,1.0
41,1,4.27213104119408e-05,1.0
42,1,7.272653570495806e-05,1.0
43,1,5.293085612025144e-06,1.0
44,1,2.7874010730085175e-06,1.0
45,1,1.6254475613267912e-06,1.0
46,1,1.8103728669886483e-06,1.0
47,1,1.9467567175473905e-06,1.0
48,1,2.2702705041850655e-06,1.0
49,1,2.1238050198815004e-06,1.0
50,1,1.7485142617981492e-06,1.0
51,1,2.2183831198492065e-06,1.0
52,1,1.3970694902569434e-06,1.0
53,1,1.3476780950125055e-06,1.0
54,1,1.5731013106308192e-06,1.0
55,1,1.3712839505733233e-06,1.0
56,1,1.5678816773785354e-06,1.0
57,1,1.303935284150036e-06,1.0
58,1,1.6087759780875778e-06,1.0
59,1,1.1990982021124215e-06,1.0
60,1,1.2081984551861534e-06,1.0
61,1,2.446684912266265e-06,1.0
62,1,1.135376609428545e-06,1.0
63,1,1.113628499953551e-06,1.0
64,1,9.227846433011975e-07,1.0
65,1,9.232199160474117e-07,1.0
66,1,2.0969699857522744e-06,1.0
67,1,1.4175125293758508e-06,1.0
68,1,9.382500094435253e-07,1.0
69,1,1.2115518050590583e-06,1.0
70,1,1.005534160808079e-06,1.0
71,1,1.0723761733338663e-06,1.0
72,1,1.028531332030872e-06,1.0
73,1,1.000950186221246e-06,1.0
74,1,9.978993389180028e-07,1.0
75,1,9.759968450692148e-07,1.0
76,1,9.790661226201268e-07,1.0
77,1,9.761655804292064e-07,1.0
78,1,9.775491992790542e-07,1.0
79,1,9.70630160850081e-07,1.0
80,1,9.783190683398486e-07,1.0
81,1,9.763245478950937e-07,1.0
82,1,9.777256788805091e-07,1.0
83,1,9.78214800176118e-07,1.0
84,1,9.790896483360987e-07,1.0
100,2,0.08785997502846599,0.9679047067582099
100,1,2.7060107935076243e-05,1.0
101,2,0.06341304231966012,0.9772520473157416
101,1,1.119680716209882e-05,1.0
102,2,0.04920132839213294,0.9836214740673339
102,1,1.269989799171735e-05,1.0
103,2,0.037719993952614606,0.9870957068409297
103,1,0.00031576506586957165,0.9999210422424003
104,2,0.028828333483034985,0.9906526594424684
104,1,0.00019747088653111479,1.0
105,2,0.0313573175096287,0.9898254611630408
105,1,0.00013200188053175667,1.0
106,2,0.02433956533717265,0.9920588965174952
106,1,0.0009793798727766932,0.9996052112120016
107,2,0.023291736076976457,0.9915625775498387
107,1,0.0005010112853074663,0.9997631267272009
108,2,0.01913101395638471,0.9941268922160642
108,1,0.0011909795434955409,0.9995262534544019
109,2,0.01606420456342518,0.9947059310116635
109,1,0.0005799323103560661,0.9998420844848006
110,2,0.017075186869733062,0.9947886508396062
110,1,0.000389870389279112,0.9998420844848006
111,2,0.015578203791374505,0.9950368103234345
111,1,0.0005566723428241375,0.9998420844848006
112,2,0.013268452787608345,0.9954504094631483
112,1,0.0007003322711253351,0.9997631267272009
113,2,0.014750781629673058,0.9955331292910911
113,1,0.0017795361919615863,0.9991314646664035
114,2,0.011417038597592409,0.9966912068822897
114,1,0.0021119450595958045,0.9990525069088038
115,2,0.012453359112529327,0.9959467284308049
115,1,0.0012831276680631111,0.9994472956968022
116,2,0.02430649427269497,0.9904872197865828
116,1,0.00044564145839952546,0.9998420844848006
117,2,0.009968802551052116,0.9973529655058317
117,1,0.0007553423767124834,0.9996841689696012
118,2,0.02378228007736351,0.9916452973777815
118,1,0.0002141077548326675,0.9999210422424003
119,2,0.014323019941447341,0.9956985689469766
119,1,0.00020169893239135422,0.9999210422424003
120,2,0.0112977626454062,0.9960294482587476
120,1,0.0003512157728192641,0.9998420844848006
121,2,0.01224145793926628,0.9958640086028621
121,1,0.0011374057996309404,0.9995262534544019
122,2,0.009167619827949574,0.9970220861940607
122,1,0.000727906858224186,0.9997631267272009
123,2,0.0107138205751985,0.9963603275705186
123,1,0.00025377594299063466,0.9999210422424003
124,2,0.008751987766288667,0.9977665646455456
124,1,0.0007270840486655717,0.9997631267272009
125,2,0.028116377162838685,0.9898254611630408
125,1,0.000289710658348996,1.0
126,2,0.009262270228877949,0.9969393663661179
126,1,0.0004734456745282248,0.9998420844848006
127,2,0.01180111906885736,0.9958640086028621
127,1,8.732277073951102e-05,1.0
128,2,0.007525300447614822,0.997932004301431
128,1,0.0006383411791769401,0.9997631267272009
129,2,0.008405242935876928,0.9974356853337745
129,1,0.00015668668854519125,1.0
130,2,0.017906316316830866,0.9936305732484076
130,1,0.0002842962713173101,0.9999210422424003
131,2,0.008185892897826072,0.9976838448176027
131,1,6.904299186991746e-05,1.0
132,2,0.08859495146712985,0.965836711059641
132,1,0.00018150781340947822,1.0
133,2,0.01910123007894499,0.9923897758292662
133,1,0.00022102099872921125,1.0
134,2,0.005734539126771014,0.9985110430970303
134,1,7.192264368694732e-05,1.0
135,2,0.006925691839620941,0.9985110430970303
135,1,0.00012083285077609397,1.0
136,2,0.005532036307175784,0.9986764827529159
136,1,0.0002479444405433409,0.9999210422424003
137,2,0.004473393058962241,0.9995864008602862
137,1,8.539021144152471e-05,1.0
138,2,0.005718013219457079,0.9988419224088014
138,1,4.4219922260793076e-05,1.0
139,2,0.004888695589745052,0.999338241376458
139,1,6.68942984373265e-05,1.0
140,2,0.0047577002126344805,0.9986764827529159
140,1,4.978344166520659e-05,1.0
141,2,0.005540333935399734,0.9985937629249731
141,1,5.898617879218987e-05,1.0
142,2,0.006594237387587094,0.9980147241293739
142,1,6.632263885203939e-05,1.0
143,2,0.004677451027786676,0.9990073620646869
143,1,9.377048786405467e-05,1.0
144,2,0.00540730151199054,0.9985110430970303
144,1,9.187954648521402e-05,1.0
145,2,0.004157125278080907,0.9992555215485152
145,1,5.403047317197874e-05,1.0
146,2,0.004607364883547297,0.9989246422367442
146,1,6.112052108634258e-05,1.0
147,2,0.00371517702432984,0.999338241376458
147,1,5.997757660489301e-05,1.0
148,2,0.0042231705377786056,0.9995036810323434
148,1,4.2358907810787375e-05,1.0
149,2,0.0038409901020031666,0.9994209612044007
149,1,4.524896079737327e-05,1.0
150,2,0.0037787135560100947,0.9990073620646869
150,1,5.591860999058813e-05,1.0
151,2,0.004295076905882322,0.9990900818926297
151,1,4.3950467433300065e-05,1.0
152,2,0.0033754578880384528,0.9994209612044007
152,1,3.336689894161056e-05,1.0
153,2,0.0034632254162332895,0.999338241376458
153,1,3.522867746655309e-05,1.0
154,2,0.0042259705324052274,0.999669120688229
154,1,6.554019612932457e-05,1.0
155,2,0.003883985790359105,0.9995864008602862
155,1,6.282026682610568e-05,1.0
156,2,0.003327423851329681,0.9995036810323434
156,1,5.535879005322088e-05,1.0
157,2,0.004236970665681371,0.999338241376458
157,1,7.011035574082413e-05,1.0
158,2,0.00425067852077201,0.9995036810323434
158,1,4.5051401127787934e-05,1.0
159,2,0.004034266631105164,0.999669120688229
159,1,6.3818960140685e-05,1.0
160,2,0.0037178042886255,0.9995864008602862
160,1,6.301235065767354e-05,1.0
161,2,0.0036674211681041974,0.9990900818926297
161,1,8.147254500183672e-05,1.0
162,2,0.0036430287752132555,0.999669120688229
162,1,6.051134576049328e-05,1.0
163,2,0.003126057395963458,0.9998345603441144
163,1,5.343690370550534e-05,1.0
164,2,0.0034957064272689016,0.9997518405161717
164,1,5.384619560704316e-05,1.0
165,2,0.0037828656334874646,0.9997518405161717
165,1,5.5182478054440585e-05,1.0
166,2,0.003409962409339794,0.9997518405161717
166,1,5.60484831350318e-05,1.0
167,2,0.00492979567018787,0.9992555215485152
167,1,5.725441837186131e-05,1.0
168,2,0.004409946096955187,0.9995036810323434
168,1,6.179140453315382e-05,1.0
169,2,0.0035106491518430848,0.9997518405161717
169,1,5.591139060849941e-05,1.0
170,2,0.0030597342300409123,0.999669120688229
170,1,5.432484489864682e-05,1.0
171,2,0.00323194436145308,0.9998345603441144
