epoch,task_num,valid_loss,valid_acc
0,1,0.007884956499862197,0.9981050138176076
1,1,0.0016528282523194922,0.9994472956968022
2,1,0.003380096488475264,0.998499802605606
3,1,0.0005187576093063482,0.9998420844848006
4,1,0.0003051292597571005,0.9999210422424003
5,1,0.0002080333563807311,1.0
6,1,9.497587934757396e-05,1.0
7,1,0.0004854959239824291,0.9998420844848006
8,1,0.0010752086533554251,0.9995262534544019
9,1,0.00014781401906854892,0.9999210422424003
10,1,9.082140521316131e-05,1.0
11,1,1.2002079511672848e-05,1.0
12,1,6.918188501327049e-06,1.0
13,1,4.928229786599083e-06,1.0
14,1,4.802002037850513e-06,1.0
15,1,3.0824656279923098e-06,1.0
16,1,2.121306553590689e-06,1.0
17,1,1.7265420958348476e-06,1.0
18,1,1.4768479109817052e-06,1.0
19,1,2.0636737798101803e-06,1.0
20,1,9.722196356324132e-07,1.0
21,1,7.83273755556858e-07,1.0
22,1,7.905655243654797e-07,1.0
23,1,6.326635079502168e-07,1.0
24,1,4.790744897419867e-07,1.0
25,1,5.270738910184407e-07,1.0
26,1,4.153595211397503e-07,1.0
27,1,3.5024090547623056e-07,1.0
28,1,3.0381479169540884e-07,1.0
29,1,3.0662273543805346e-07,1.0
30,1,2.3359738253968358e-07,1.0
31,1,2.1259245434454326e-07,1.0
32,1,1.9317827640335273e-07,1.0
33,1,1.8517940242096637e-07,1.0
34,1,1.5781982715045531e-07,1.0
35,1,1.3159103233878204e-07,1.0
36,1,1.571026994182352e-07,1.0
37,1,1.102070229189953e-07,1.0
38,1,1.0074817950561584e-07,1.0
39,1,9.975962422280185e-08,1.0
40,1,8.362786985829875e-08,1.0
41,1,7.980643354419776e-08,1.0
42,1,7.072394961885052e-08,1.0
43,1,7.902496924113031e-08,1.0
44,1,6.221539264506944e-08,1.0
45,1,7.376366617728767e-08,1.0
46,1,5.510908684457822e-08,1.0
47,1,4.864299546382897e-08,1.0
48,1,4.476517243901306e-08,1.0
49,1,4.113208251041494e-08,1.0
50,1,3.7903678649024057e-08,1.0
51,1,3.4223469795618056e-08,1.0
52,1,3.55411335665449e-08,1.0
53,1,3.155033648075906e-08,1.0
54,1,2.9018423520045647e-08,1.0
55,1,2.617593858219536e-08,1.0
56,1,3.690579441808591e-08,1.0
